Date,Open,High,Low,Close,Volume
2005-04-20,4.2055,4.2055,4.0663,4.0782,21501457
2005-04-21,4.1534,4.2114,4.0548,4.2114,11248581
2005-04-22,4.2172,4.2172,4.0374,4.0782,12769721
2005-04-25,4.1012,4.2693,4.0895,4.2521,12915214
2005-04-26,4.1592,4.2579,4.1247,4.1361,13529601
2005-04-27,4.0548,4.107,4.0142,4.0663,13546151
2005-04-28,4.0085,4.0142,3.788,3.8403,35241367
2005-04-29,3.9157,3.962,3.7765,3.8925,26626166
2005-05-02,3.9213,3.9272,3.8286,3.9041,11049991
2005-05-03,3.8633,3.9911,3.8576,3.9041,12271178
2005-05-04,3.9562,4.0722,3.9331,4.0432,18256446
2005-05-05,4.0663,4.1247,3.9562,3.9968,17538626
2005-05-06,4.0954,4.1477,4.0317,4.0606,20197516
2005-05-09,4.0722,4.1361,4.0432,4.1247,10881053
2005-05-10,4.1128,4.1128,3.9446,3.9794,12352548
2005-05-11,3.9794,3.9911,3.8693,3.9794,12439427
2005-05-12,3.9562,3.9562,3.7298,3.7765,32435599
2005-05-13,3.7707,3.8053,3.6141,3.6951,32183228
2005-05-16,3.6951,3.8866,3.6951,3.8693,14732858
2005-05-17,3.8345,3.9157,3.8113,3.9041,15687880
2005-05-18,4.0085,4.1592,3.9911,4.1361,24272745
2005-05-19,4.1592,4.1765,4.0663,4.1592,21691770
2005-05-20,4.1477,4.1477,4.0548,4.0782,8579344
2005-05-23,4.0954,4.1477,4.0838,4.1361,9902586
2005-05-24,4.1186,4.2347,4.0895,4.2347,11491296
2005-05-25,4.223,4.223,4.1247,4.1881,12694564
2005-05-26,4.1881,4.3043,4.1823,4.2869,9207523
2005-05-27,4.2521,4.3215,4.2172,4.2753,11525777
2005-05-31,4.2753,4.2986,4.1651,4.194,12319448
2005-06-01,4.1477,4.2986,4.1361,4.2403,13055192
2005-06-02,4.2403,4.3622,4.2403,4.3101,21191846
2005-06-03,4.374,4.374,4.3101,4.3215,12958657
2005-06-06,4.1881,4.223,4.1303,4.2114,16727722
2005-06-07,4.107,4.2288,4.0782,4.1186,17688946
2005-06-08,4.1534,4.2055,4.0782,4.1012,13559944
2005-06-09,4.0432,4.0432,3.9157,3.9852,19889293
2005-06-10,4.0258,4.0722,3.962,4.0317,14380501
2005-06-13,4.0606,4.1012,4.0085,4.0432,10767968
2005-06-14,4.1012,4.1303,3.962,4.1303,22577834
2005-06-15,4.0895,4.1881,4.0142,4.1709,15261056
2005-06-16,4.2753,4.3913,4.2579,4.368,28725147
2005-06-17,4.4898,4.5072,4.4318,4.4435,22463374
2005-06-20,4.4377,4.4435,4.339,4.3971,17860644
2005-06-21,4.3913,4.3913,4.2753,4.3101,22117221
2005-06-22,4.2986,4.3332,4.1881,4.2521,13854378
2005-06-23,4.223,4.223,4.049,4.0954,20120978
2005-06-24,4.0782,4.0954,4.02,4.0432,19159751
2005-06-27,4.0142,4.2172,3.9852,4.1651,22098601
2005-06-28,4.2055,4.3274,4.194,4.2693,14485315
2005-06-29,4.2986,4.3449,4.2693,4.2869,9496440
2005-06-30,4.2693,4.3274,4.2288,4.2288,13479265
2005-07-01,4.2869,4.3274,4.2753,4.3274,8206990
2005-07-05,4.3043,4.3332,4.2347,4.2638,7390563
2005-07-06,4.2347,4.3622,4.2055,4.3332,18402632
2005-07-07,4.2347,4.3622,4.2172,4.3564,9239245
2005-07-08,4.4028,4.5422,4.4028,4.4841,22610243
2005-07-11,4.5769,4.6523,4.5652,4.5769,18180598
2005-07-12,4.548,4.5711,4.5188,4.548,13794387
2005-07-13,4.5536,4.6118,4.5536,4.5942,13859205
2005-07-14,4.6177,4.6349,4.5422,4.5536,19393508
2005-07-15,4.5131,4.5131,4.4609,4.4726,11045163
2005-07-18,4.4609,4.5188,4.4261,4.4841,10800371
2005-07-19,4.4609,4.5769,4.4377,4.548,12256697
2005-07-20,4.548,4.7047,4.5247,4.693,29978744
2005-07-21,4.7393,4.7858,4.629,4.78,23221875
2005-07-22,4.7684,4.8031,4.7219,4.7973,20595388
2005-07-25,4.693,4.7219,4.5306,4.6061,17915120
2005-07-26,4.5652,4.6177,4.5131,4.5942,14063314
2005-07-27,4.6464,4.6523,4.5536,4.6061,12041560
2005-07-28,4.6641,4.7684,4.6523,4.7219,16280204
2005-07-29,4.7743,4.7743,4.6582,4.7047,14990748
2005-08-01,4.7625,4.7858,4.7104,4.7684,9193731
2005-08-02,4.8031,4.9016,4.8031,4.8902,22709543
2005-08-03,4.9598,5.0062,4.8902,4.9655,25414630
2005-08-04,4.9655,4.9828,4.8902,4.9251,15578933
2005-08-05,4.9538,4.9828,4.8204,4.8786,16258827
2005-08-08,4.9368,5.041,4.9251,4.9483,14746653
2005-08-09,5.0527,5.157,5.035,5.0991,21511797
2005-08-10,5.1337,5.2324,5.1108,5.1921,28675501
2005-08-11,5.2557,5.2615,4.9945,5.035,26835100
2005-08-12,4.8728,5.0178,4.8379,5.0062,19053564
2005-08-15,5.041,5.1048,5.012,5.0932,9022035
2005-08-16,5.1337,5.1337,4.9133,4.9368,13633034
2005-08-17,4.9076,4.9598,4.8962,4.9368,10501110
2005-08-18,4.9308,4.9368,4.7973,4.8088,14605293
2005-08-19,4.8669,4.9251,4.6987,4.7858,28589305
2005-08-22,4.8844,5.0238,4.8669,4.9945,20680205
2005-08-23,4.9598,4.9598,4.8319,4.8786,17877880
2005-08-24,4.78,4.8148,4.6523,4.693,23411498
2005-08-25,4.7104,4.8962,4.6987,4.8844,17597926
2005-08-26,4.8728,4.8962,4.7569,4.8264,19618990
2005-08-29,4.8148,4.9192,4.7858,4.8902,9524716
2005-08-30,4.9368,4.9598,4.8438,4.9076,11388558
2005-08-31,4.9828,4.9945,4.9425,4.9655,15272085
2005-09-01,5.0062,5.041,4.9538,5.041,16056789
2005-09-02,5.0702,5.1862,5.0643,5.1687,15330007
2005-09-06,5.2384,5.2673,5.1746,5.2499,14602538
2005-09-07,5.2324,5.2615,5.1627,5.2035,10739694
2005-09-08,5.2324,5.2557,5.2035,5.2384,9704683
2005-09-09,5.2673,5.3774,5.2557,5.3716,15132799
2005-09-12,5.3716,5.4239,5.302,5.3716,15678230
2005-09-13,5.3311,5.3658,5.2557,5.2615,13755080
2005-09-14,5.2499,5.3426,5.2439,5.2847,15198992
2005-09-15,5.3716,5.5689,5.3716,5.5109,35307565
2005-09-16,5.5863,5.7662,5.5804,5.7544,18745335
2005-09-19,5.7544,5.7544,5.6733,5.6733,15165895
2005-09-20,5.6733,5.7312,5.6385,5.6674,16500861
2005-09-21,5.7603,6.1025,5.7198,6.0504,32492143
2005-09-22,6.0504,6.056,5.8647,6.0446,20713301
2005-09-23,6.0446,6.2535,6.0214,6.2302,19577620
2005-09-26,6.2302,6.3694,6.0794,6.3403,19405919
2005-09-27,6.3403,6.3403,6.1317,6.3,19688634
2005-09-28,6.3403,6.4795,6.3347,6.3578,18939786
2005-09-29,6.41,6.4856,6.1894,6.4681,32972753
2005-09-30,6.4275,6.474,6.3172,6.3347,21438016
2005-10-03,6.3114,6.4041,6.2302,6.3288,19259731
2005-10-04,6.3056,6.3288,6.1256,6.1548,17706189
2005-10-05,6.004,6.0446,5.7836,5.795,29114053
2005-10-06,5.6385,5.7081,5.3716,5.4934,48801312
2005-10-07,5.5979,5.7893,5.5747,5.6849,37703741
2005-10-10,5.8124,5.9401,5.8009,5.888,28290041
2005-10-11,6.0677,6.1317,5.9343,5.9805,22937782
2005-10-12,5.9805,6.0214,5.6094,5.6849,22596456
2005-10-13,5.5747,5.6849,5.4934,5.6501,24212750
2005-10-14,5.7255,5.7719,5.4587,5.7603,30416604
2005-10-17,5.7836,5.7893,5.6849,5.6964,17538626
2005-10-18,5.7544,5.7662,5.5225,5.5225,16308475
2005-10-19,5.4877,5.6326,5.3196,5.6036,22609557
2005-10-20,5.6618,5.6907,5.302,5.3196,25804917
2005-10-21,5.3774,5.6036,5.3426,5.5922,21040149
2005-10-24,5.6036,5.7603,5.6036,5.7429,18097158
2005-10-25,5.8009,5.9053,5.6326,5.6733,19552105
2005-10-26,5.6849,5.8298,5.6501,5.714,17036637
2005-10-27,5.714,5.7486,5.5284,5.5922,14505313
2005-10-28,5.6326,5.795,5.6326,5.7544,15232092
2005-10-31,5.8184,6.004,5.8124,5.9693,18962541
2005-11-01,6.0852,6.1894,6.0852,6.1025,23099826
2005-11-02,6.1083,6.2535,6.039,6.2013,10331482
2005-11-03,6.2708,6.3866,6.2302,6.2823,18972195
2005-11-04,6.323,6.323,6.004,6.1953,15165205
2005-11-07,6.2823,6.3172,6.1488,6.2183,12473907
2005-11-08,6.2126,6.2881,6.1374,6.2243,13623380
2005-11-09,6.2126,6.2535,6.1142,6.1664,15434131
2005-11-10,5.9865,6.027,5.8588,5.9631,39426918
2005-11-11,5.9923,6.1025,5.9693,6.0736,14939725
2005-11-14,5.8937,6.0446,5.8823,5.9631,12646982
2005-11-15,5.9693,6.1142,5.946,5.9805,12423568
2005-11-16,6.004,6.12,5.946,6.12,13901954
2005-11-17,6.2475,6.2823,6.2013,6.2359,14204667
2005-11-18,6.1953,6.2302,6.1025,6.1664,10901740
2005-11-21,6.2535,6.2708,6.1953,6.2417,14781127
2005-11-22,6.091,6.3288,6.0332,6.323,23517000
2005-11-23,6.323,6.4856,6.3,6.352,18527444
2005-11-25,6.3808,6.4506,6.352,6.4391,5603259
2005-11-28,6.4974,6.5433,6.259,6.2942,16632563
2005-11-29,6.3636,6.4216,6.2766,6.3,17082836
2005-11-30,6.3114,6.3114,6.1722,6.265,14221219
2005-12-01,6.2942,6.491,6.2823,6.491,22470266
2005-12-02,6.5548,6.6359,6.4275,6.5086,18315057
2005-12-05,6.5086,6.5086,6.3636,6.3694,14166056
2005-12-06,6.3983,6.4391,6.3,6.352,22710921
2005-12-07,6.3172,6.3636,6.0504,6.0677,23541134
2005-12-08,6.0794,6.0794,5.9343,6.039,21611093
2005-12-09,6.091,6.1256,5.9923,6.0965,14913519
2005-12-12,6.1722,6.178,6.0214,6.1025,13333769
2005-12-13,6.027,6.1374,6.0214,6.0965,11836073
2005-12-14,6.1431,6.1488,6.0096,6.0214,12482870
2005-12-15,5.975,5.9923,5.8647,5.9575,14369466
2005-12-16,5.9169,5.9805,5.9113,5.946,14157781
2005-12-19,5.8184,5.9284,5.7023,5.795,21652468
2005-12-20,5.8009,5.8588,5.7893,5.8184,12923491
2005-12-21,5.9343,6.056,5.9169,5.9923,20893270
2005-12-22,5.9575,5.975,5.9053,5.946,12832467
2005-12-23,5.9519,5.9865,5.8937,5.946,6935464
2005-12-27,5.9226,5.9343,5.8588,5.888,23212912
2005-12-28,5.8474,5.9575,5.8243,5.9053,13924713
2005-12-29,5.9169,6.0332,5.8995,5.975,10776930
2005-12-30,5.9805,5.9983,5.9284,5.9401,7656728
2006-01-03,6.0794,6.2417,6.004,6.2126,18621214
2006-01-04,6.2881,6.4158,6.2417,6.3694,21311140
2006-01-05,6.3808,6.4506,6.352,6.41,17704805
2006-01-06,6.4275,6.5264,6.4275,6.4974,18499164
2006-01-09,6.5379,6.5843,6.4681,6.5843,15383794
2006-01-10,6.4565,6.5843,6.4041,6.5725,17617236
2006-01-11,6.5725,6.7113,6.5725,6.6714,19846541
2006-01-12,6.8567,6.9551,6.7812,6.8685,48677877
2006-01-13,6.8685,6.8912,6.747,6.8336,20495404
2006-01-17,6.8979,6.9028,6.7177,6.7812,19913426
2006-01-18,6.6479,6.6883,6.6073,6.6479,18328155
2006-01-19,6.7748,6.9376,6.747,6.9267,26371727
2006-01-20,6.9376,6.979,6.6883,6.7113,25668388
2006-01-23,6.7639,6.8163,6.6946,6.8163,16300891
2006-01-24,7.0252,7.0658,6.8979,6.9087,27885282
2006-01-25,6.979,7.1993,6.7868,6.8739,28678261
2006-01-26,6.9319,7.1641,6.9319,7.1641,47424282
2006-01-27,7.1465,7.2226,7.1114,7.1933,28487251
2006-01-30,7.2637,7.309,7.1866,7.2226,31197866
2006-01-31,7.1821,7.4478,7.1068,7.4074,43340098
2006-02-01,7.366,7.3792,7.2508,7.2744,18750848
2006-02-02,7.3256,7.3494,6.9673,7.118,41938933
2006-02-03,6.9267,7.0942,6.7748,7.0542,28540350
2006-02-06,7.1465,7.1866,7.0832,7.1641,11732643
2006-02-07,7.0195,7.0593,6.8163,6.8393,25389808
2006-02-08,6.7518,6.8739,6.5958,6.8455,22923299
2006-02-09,6.9267,7.002,6.7931,6.8274,21517311
2006-02-10,6.9319,6.944,6.6596,6.7639,26575833
2006-02-13,6.6073,6.6883,6.5548,6.625,22987426
2006-02-14,6.6421,6.8274,6.5725,6.7931,24404448
2006-02-15,6.8798,6.944,6.7931,6.8857,20829835
2006-02-16,6.851,6.979,6.7177,6.921,40158526
2006-02-17,6.9028,6.9028,6.7177,6.8222,24797490
2006-02-21,6.8621,6.8912,6.7113,6.7582,20695375
2006-02-22,6.8163,6.9723,6.7639,6.9319,23395636
2006-02-23,6.944,7.0478,6.8043,6.9957,19673465
2006-02-24,6.9609,7.0832,6.921,7.0252,12637325
2006-02-27,7.0774,7.0774,6.8336,6.8621,14525996
2006-02-28,6.8336,6.9028,6.6596,6.7056,17599304
2006-03-01,6.7232,7.002,6.7232,6.9319,23661113
2006-03-02,6.9673,6.9898,6.8455,6.9267,18275064
2006-03-03,6.9267,6.9376,6.8043,6.921,16055412
2006-03-06,6.9145,6.9493,6.6359,6.7232,21471805
2006-03-07,6.6134,6.6305,6.3,6.4624,38995261
2006-03-08,6.3694,6.3925,6.1025,6.3056,60053334
2006-03-09,6.3753,6.4681,6.0446,6.1083,42103047
2006-03-10,6.1142,6.3114,6.0446,6.2475,37970592
2006-03-13,6.3,6.3753,6.2302,6.259,22487503
2006-03-14,6.1894,6.3983,6.1894,6.3753,18894965
2006-03-15,6.491,6.5433,6.4391,6.5142,25577366
2006-03-16,6.5781,6.6134,6.3983,6.4974,22775734
2006-03-17,6.5379,6.5433,6.4275,6.4856,14701141
2006-03-20,6.5379,6.5664,6.4391,6.4856,11986394
2006-03-21,6.4856,6.5025,6.323,6.3753,18485377
2006-03-22,6.352,6.4506,6.3403,6.3866,18056479
2006-03-23,6.4795,6.491,6.3403,6.3578,21462148
2006-03-24,6.4856,6.5725,6.4216,6.5379,26714430
2006-03-27,6.5781,6.6827,6.491,6.6188,22107568
2006-03-28,6.5433,6.6827,6.4565,6.5086,28303834
2006-03-29,6.5843,6.7639,6.5495,6.7232,22187554
2006-03-30,6.9319,7.0708,6.8798,6.9723,41987894
2006-03-31,6.9087,7.0252,6.8621,7.0078,18790154
2006-04-03,7.2164,7.2693,7.0942,7.118,28119728
2006-04-04,7.1641,7.1755,7.0425,7.0708,16575328
2006-04-05,7.1641,7.2164,7.0078,7.1411,18756371
2006-04-06,7.1411,7.2054,7.0593,7.1933,18455035
2006-04-07,7.1933,7.1993,6.9493,7.036,17287630
2006-04-10,6.9609,7.0658,6.9028,6.9673,15971287
2006-04-11,7.0881,7.1114,6.9028,6.9145,13103460
2006-04-12,6.9145,6.9673,6.8393,6.9609,11288576
2006-04-13,6.8567,6.9723,6.7582,6.921,10641779
2006-04-17,6.9723,7.0832,6.944,7.0252,12114652
2006-04-18,7.1068,7.2919,7.0881,7.2807,18861180
2006-04-19,7.2744,7.3042,7.1411,7.2693,15763041
2006-04-20,7.2637,7.2859,7.0128,7.1411,22730916
2006-04-21,7.1821,7.64,7.1821,7.4718,32481110
2006-04-24,7.366,7.4718,7.3386,7.4663,17738594
2006-04-25,7.4663,7.5008,7.3256,7.3959,17205576
2006-04-26,7.431,7.64,7.4196,7.4718,37763038
2006-04-27,7.3318,7.4608,7.2105,7.2919,30200777
2006-04-28,7.402,7.4945,7.3141,7.4434,18962541
2006-05-01,7.5055,7.7039,7.4828,7.6455,14701832
2006-05-02,7.5993,7.8427,7.5416,7.8427,29674658
2006-05-03,7.8475,7.8475,7.6264,7.7613,17516560
2006-05-04,7.751,7.9294,7.751,7.9057,21457323
2006-05-05,7.9601,8.1215,7.9542,8.0805,18912207
2006-05-08,8.1505,8.1666,7.9985,8.1573,24818172
2006-05-09,8.1904,8.4058,8.1333,8.4058,26565487
2006-05-10,8.3189,8.399,8.2433,8.336,26940600
2006-05-11,8.3657,8.3887,7.9884,8.0705,34946239
2006-05-12,7.8787,7.9409,7.6216,7.7732,35741979
2006-05-15,7.366,7.5589,7.3141,7.4372,35963321
2006-05-16,7.5825,7.6799,7.2332,7.3912,44153763
2006-05-17,7.2919,7.3494,6.8739,7.0832,58246719
2006-05-18,7.0832,7.1641,6.8685,6.8979,49261236
2006-05-19,6.9673,6.9846,6.6188,6.8912,53994974
2006-05-22,6.5142,6.6596,6.3,6.6073,59016946
2006-05-23,6.8455,6.9898,6.5025,6.5025,53571594
2006-05-24,6.3925,6.5781,6.0794,6.3403,66079286
2006-05-25,6.4856,6.8912,6.4275,6.8621,49486024
2006-05-26,7.1114,7.118,6.9319,7.0252,42645721
2006-05-30,6.8685,6.9267,6.6305,6.7351,40709475
2006-05-31,6.7868,6.8979,6.6479,6.7288,38980089
2006-06-01,6.6479,6.8105,6.6012,6.7931,33457508
2006-06-02,6.9493,6.9551,6.6996,6.8455,28849267
2006-06-05,6.8393,6.8393,6.5958,6.6359,28697566
2006-06-06,6.4974,6.5495,6.3463,6.5086,48931632
2006-06-07,6.4332,6.5379,6.1431,6.178,33280294
2006-06-08,5.9805,6.178,5.8415,6.1606,42359904
2006-06-09,6.3,6.3056,6.1664,6.2766,47925236
2006-06-12,6.2126,6.2823,5.9284,5.9343,32619709
2006-06-13,5.7836,5.8937,5.6674,5.795,38560159
2006-06-14,5.8184,6.056,5.7836,5.9805,38671172
2006-06-15,6.1142,6.474,6.1083,6.4332,39180749
2006-06-16,6.1953,6.3347,6.0677,6.2942,28283838
2006-06-19,6.2881,6.3347,6.0332,6.0794,20833971
2006-06-20,6.1953,6.2823,6.056,6.056,23688006
2006-06-21,6.0446,6.4974,6.0446,6.4565,30696909
2006-06-22,6.491,6.4974,6.323,6.4565,19632091
2006-06-23,6.3,6.4681,6.2708,6.3578,23658355
2006-06-26,6.4041,6.5843,6.3578,6.4391,17733080
2006-06-27,6.4447,6.5781,6.2766,6.3,15976805
2006-06-28,6.3578,6.4565,6.2766,6.4565,17333485
2006-06-29,6.4974,6.8739,6.4974,6.8163,29888762
2006-06-30,6.944,6.9898,6.851,6.944,23082240
2006-07-03,6.979,7.0881,6.9319,7.0593,9860177
2006-07-05,6.9493,6.9493,6.7232,6.8105,19067006
2006-07-06,6.8336,6.9319,6.7868,6.8455,15047640
2006-07-07,6.7987,6.8685,6.7177,6.7518,15368625
2006-07-10,6.8043,6.8336,6.6996,6.7748,12179813
2006-07-11,6.747,6.7868,6.6012,6.7748,21031182
2006-07-12,6.8043,6.8567,6.6421,6.6655,15790282
2006-07-13,6.5843,6.5843,6.3925,6.4624,20611249
2006-07-14,6.4624,6.4974,6.3288,6.4447,16936653
2006-07-17,6.3347,6.4332,6.2302,6.2823,23033284
2006-07-18,6.3578,6.41,6.178,6.3288,21165645
2006-07-19,6.3578,6.7582,6.352,6.7177,23929005
2006-07-20,6.7177,6.7232,6.41,6.4565,26148310
2006-07-21,6.474,6.5142,6.1374,6.2013,31775358
2006-07-24,6.2766,6.4158,6.2183,6.3925,19939629
2006-07-25,6.4856,6.5664,6.3578,6.5379,16064372
2006-07-26,6.5264,6.6012,6.4158,6.5433,11001376
2006-07-27,6.6305,6.7288,6.5611,6.5958,16871493
2006-07-28,6.6535,6.8979,6.5958,6.8336,19566241
2006-07-31,6.8336,6.8336,6.6655,6.6996,17444161
2006-08-01,6.6714,6.6763,6.5025,6.6655,15698569
2006-08-02,6.7288,6.8979,6.7177,6.7868,17445884
2006-08-03,6.7868,6.9723,6.747,6.8567,26383795
2006-08-04,6.979,7.0658,6.8857,6.9493,28350723
2006-08-07,6.944,6.9551,6.8043,6.8336,16397428
2006-08-08,6.8621,6.8912,6.7406,6.7812,17779969
2006-08-09,6.8043,6.8567,6.6012,6.6479,20467134
2006-08-10,6.6479,6.6535,6.4974,6.6134,29639487
2006-08-11,6.5025,6.5958,6.4447,6.474,26534803
2006-08-14,6.474,6.5433,6.3288,6.3578,29145428
2006-08-15,6.3578,6.4506,6.2881,6.3056,37671674
2006-08-16,6.3808,6.5264,6.3578,6.4506,48693394
2006-08-17,6.5264,6.625,6.4795,6.5264,30462461
2006-08-18,6.5433,6.5725,6.4506,6.5142,18768783
2006-08-21,6.4856,6.5264,6.3808,6.4275,18793946
2006-08-22,6.4275,6.4565,6.2243,6.3,21991378
2006-08-23,6.2302,6.2535,5.9923,6.0332,35346525
2006-08-24,6.0736,6.0794,5.9169,6.0504,30921355
2006-08-25,6.0677,6.12,6.004,6.039,20253027
2006-08-28,6.039,6.2071,6.0096,6.1488,24849896
2006-08-29,6.2359,6.2359,6.0736,6.1664,22960191
2006-08-30,6.2071,6.2535,6.1374,6.184,17281080
2006-08-31,6.2126,6.2942,6.1664,6.1953,19983758
2006-09-01,6.2126,6.4447,6.2126,6.4275,21772791
2006-09-05,6.5264,6.6188,6.491,6.6073,23623535
2006-09-06,6.5025,6.5379,6.3753,6.3925,11870553
2006-09-07,6.2881,6.3925,6.2417,6.2766,13532360
2006-09-08,6.2823,6.3403,6.2475,6.259,11783329
2006-09-11,6.039,6.0852,5.8762,5.8937,37193472
2006-09-12,6.0096,6.0156,5.7836,5.8995,27408112
2006-09-13,5.9631,6.1374,5.888,6.0794,26158653
2006-09-14,6.1256,6.178,5.9923,6.0096,23216701
2006-09-15,6.039,6.091,5.9575,6.0214,11649898
2006-09-18,6.039,6.1374,5.9865,6.056,16274345
2006-09-19,6.091,6.091,5.853,5.9343,16025073
2006-09-20,5.9343,6.0096,5.7719,5.7893,25530822
2006-09-21,5.7486,5.946,5.7486,5.8588,27850801
2006-09-22,5.8588,5.8762,5.7255,5.7893,23946931
2006-09-25,5.6674,5.7312,5.534,5.7081,35722669
2006-09-26,5.7081,6.004,5.7081,5.9575,36273273
2006-09-27,6.056,6.1431,6.0214,6.0965,25590470
2006-09-28,6.1664,6.1953,6.1142,6.1606,19689326
2006-09-29,6.1664,6.3056,6.1083,6.2302,18562262
2006-10-02,6.3172,6.3694,6.2766,6.3056,18831526
2006-10-03,6.2243,6.259,6.0156,6.039,25896971
2006-10-04,6.004,6.2823,5.975,6.2823,31246821
2006-10-05,6.3463,6.5086,6.3288,6.4275,30268700
2006-10-06,6.4216,6.4565,6.3403,6.4158,20254752
2006-10-09,6.4681,6.6946,6.4681,6.5896,24150005
2006-10-10,6.5958,6.7177,6.5958,6.6996,21872430
2006-10-11,6.6596,6.8222,6.5843,6.7582,26307595
2006-10-12,6.7582,6.979,6.7582,6.9087,26704773
2006-10-13,6.9145,6.9898,6.8455,6.8912,22395449
2006-10-16,6.944,7.0774,6.9087,7.0425,32067382
2006-10-17,6.8739,6.9551,6.8567,6.9028,31666065
2006-10-18,7.0078,7.0774,6.8857,6.9493,30727590
2006-10-19,6.8336,7.0881,6.8336,7.0593,25431185
2006-10-20,6.9673,7.0425,6.9145,6.9319,22681958
2006-10-23,6.9028,7.0425,6.8336,7.0128,14236043
2006-10-24,7.036,7.3256,7.0078,7.3256,36491171
2006-10-25,7.309,7.489,7.2395,7.4608,33173760
2006-10-26,7.4372,7.4663,7.2054,7.4434,26314835
2006-10-27,7.3494,7.4765,7.3141,7.3729,19188021
2006-10-30,7.2919,7.3141,7.1933,7.1993,21966550
2006-10-31,7.2508,7.3615,7.2226,7.3494,15142105
2006-11-01,7.5126,7.5945,7.4536,7.5176,40540538
2006-11-02,7.5416,7.5993,7.4074,7.5532,21737965
2006-11-03,7.6568,7.7094,7.5889,7.64,15408617
2006-11-06,7.6695,7.8541,7.6568,7.8248,24164139
2006-11-07,7.801,7.8377,7.6927,7.7318,23445283
2006-11-08,7.6216,7.7732,7.6049,7.7732,18120953
2006-11-09,7.9122,8.1734,7.8836,7.9294,47502204
2006-11-10,7.9294,7.9601,7.7318,7.7565,21163578
2006-11-13,7.5126,7.5945,7.4536,7.5643,29453653
2006-11-14,7.6992,7.739,7.5351,7.6503,21649705
2006-11-15,7.5825,7.8665,7.5532,7.7912,19014946
2006-11-16,7.819,7.8475,7.5532,7.5707,17883747
2006-11-17,7.425,7.5468,7.3494,7.5225,23594229
2006-11-20,7.6568,7.6992,7.4434,7.5225,15730981
2006-11-21,7.64,7.8133,7.5945,7.8068,29990466
2006-11-22,7.8133,7.873,7.64,7.7912,16188495
2006-11-24,7.6695,7.8541,7.6695,7.8427,6900983
2006-11-27,7.801,7.873,7.6216,7.7149,24606829
2006-11-28,7.64,7.7732,7.5762,7.7613,15852686
2006-11-29,7.797,8.0219,7.7912,7.9767,19789307
2006-11-30,7.9474,8.0353,7.8304,8.0169,17275908
2006-12-01,8.0746,8.0847,7.819,7.9634,21182196
2006-12-04,7.9122,8.2713,7.873,8.2551,24674749
2006-12-05,8.3002,8.6088,8.2934,8.6035,42774324
2006-12-06,8.5164,8.5617,8.4355,8.5333,23148782
2006-12-07,8.4746,8.5866,8.399,8.4168,20506439
2006-12-08,8.3249,8.487,8.2772,8.4515,22292363
2006-12-11,8.4515,8.5617,8.393,8.5111,14150194
2006-12-12,8.4639,8.4746,8.2772,8.399,24789903
2006-12-13,8.4693,8.4693,8.3071,8.4116,19074246
2006-12-14,8.487,8.6724,8.487,8.6724,20863622
2006-12-15,8.6724,8.6951,8.5795,8.6434,17805482
